Index,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67
10,6.573,4.969,6.158,10.511,9.961,8.184,9.520,2.859,12.435,4.542,0.000,10.065,6.691,7.101,3.111,5.195,8.245,10.747,6.344,4.365,11.404,2.339,7.147,3.046,4.736,8.779,4.683,7.252,5.599,8.763,9.334,5.423,10.235,9.858,7.437,9.955,10.066,9.024,2.437,7.363,12.722,8.927,4.728,11.016,6.481,11.726,5.294,12.492,8.024,6.271,4.672,9.947,5.923,6.956,8.704,13.353,9.295,13.064,5.362,8.108,9.177,9.628,8.565,7.018,7.720,11.934,5.178,6.298
11,14.104,5.866,4.992,9.034,5.732,9.138,6.964,8.294,7.921,7.880,10.065,0.000,4.115,4.246,5.124,10.217,3.282,8.311,8.700,10.781,4.292,11.337,5.171,7.331,5.945,3.825,12.377,3.019,7.397,9.238,9.234,11.546,11.085,8.580,4.568,4.216,4.729,14.028,10.351,8.320,7.285,8.746,7.113,5.963,8.698,9.356,1.128,12.248,13.213,5.732,6.494,10.102,9.140,2.237,6.396,11.490,7.036,10.446,13.570,13.199,6.243,5.423,12.287,8.730,5.198,11.141,9.845,5.861
12,10.822,9.650,1.270,5.289,10.513,5.309,8.657,10.277,5.368,11.651,6.691,4.115,0.000,5.904,4.221,5.448,1.941,1.825,10.380,8.678,13.327,10.159,9.117,5.255,1.241,10.971,2.069,13.898,8.003,4.474,2.321,13.553,9.857,8.568,6.959,9.059,9.227,7.075,3.955,6.289,1.184,9.669,6.643,6.636,10.268,6.055,6.992,6.880,9.520,7.993,1.788,2.933,8.940,11.396,8.118,4.739,7.712,8.030,7.401,6.512,9.160,9.007,4.076,3.149,3.819,8.816,4.988,2.256
13,7.839,6.313,7.253,7.639,1.482,3.444,11.461,13.158,6.728,6.054,7.101,4.246,5.904,0.000,3.173,1.994,9.033,2.773,5.246,11.042,7.124,7.653,11.972,7.632,7.857,6.586,11.317,7.126,9.325,4.053,11.359,7.325,7.456,10.497,12.960,2.550,13.179,11.268,10.587,8.440,10.527,7.245,5.008,8.659,11.131,4.335,8.186,10.980,11.154,9.505,4.358,6.626,4.718,13.256,5.456,9.690,5.115,7.441,8.265,12.492,8.731,1.196,2.869,8.123,11.668,11.519,8.578,11.550
14,3.090,9.528,10.121,7.988,7.638,1.352,2.367,9.154,6.575,8.226,3.111,5.124,4.221,3.173,0.000,3.212,11.014,8.424,12.331,12.469,7.604,6.935,6.620,6.803,5.740,1.295,7.444,6.900,5.762,11.367,7.435,8.056,7.666,6.390,11.445,10.106,6.806,11.345,8.357,6.527,9.308,11.621,9.599,8.068,13.720,5.825,11.626,4.896,4.261,6.393,12.511,7.817,12.175,11.047,12.255,8.626,8.152,9.503,2.471,10.539,9.751,4.765,10.703,10.346,2.390,5.145,9.227,4.372
15,6.886,3.117,8.939,13.697,11.280,8.596,10.334,11.119,7.311,11.929,5.195,10.217,5.448,1.994,3.212,0.000,9.690,12.868,2.319,8.598,10.724,9.450,8.017,9.001,12.912,12.178,6.809,6.593,9.800,4.254,11.692,7.364,13.885,9.442,7.746,5.550,10.190,9.420,4.949,9.774,12.527,14.596,12.932,3.836,3.643,12.127,6.134,6.185,8.810,4.049,6.753,8.873,1.800,1.899,10.469,4.983,5.666,9.279,2.368,8.521,9.575,3.903,7.562,11.192,10.553,5.923,4.994,6.604
16,9.892,4.434,8.385,9.978,6.984,4.409,2.590,3.791,7.203,2.118,8.245,3.282,1.941,9.033,11.014,9.690,0.000,6.341,9.670,8.458,8.775,7.910,13.342,3.809,7.792,4.812,9.579,10.951,6.207,10.029,5.777,8.574,11.806,13.039,11.364,7.489,9.750,6.630,5.695,8.816,10.389,6.164,12.216,6.019,5.974,8.960,7.403,2.352,9.943,6.365,6.252,9.023,10.689,7.899,5.895,5.940,3.952,11.781,10.442,10.624,6.766,11.190,8.236,7.153,6.741,7.968,8.583,7.690
17,5.454,9.244,10.369,4.832,10.771,5.681,6.914,7.254,3.209,8.260,10.747,8.311,1.825,2.773,8.424,12.868,6.341,0.000,10.727,10.322,9.886,2.560,6.150,7.258,12.620,8.018,11.576,13.394,1.267,12.584,8.472,5.834,6.745,9.998,1.359,4.905,4.467,5.105,1.226,9.107,11.505,14.610,8.976,5.804,6.373,1.446,3.332,7.877,5.373,7.836,10.198,8.031,6.149,9.328,3.729,6.253,2.300,9.369,8.378,4.714,1.689,8.252,11.852,9.293,8.731,7.268,5.705,12.837
18,6.675,10.419,10.529,3.167,7.855,10.284,10.183,5.529,3.034,5.898,6.344,8.700,10.380,5.246,12.331,2.319,9.670,10.727,0.000,7.206,8.622,10.062,2.871,5.046,7.438,12.102,10.891,10.653,5.843,6.958,10.190,8.221,2.758,10.535,2.833,9.402,5.315,11.632,8.178,8.475,7.564,6.516,9.003,6.130,8.829,3.737,12.030,8.400,12.352,2.345,5.666,3.834,3.299,9.235,7.528,7.234,8.365,10.896,4.765,5.438,4.742,5.996,1.289,8.517,2.207,8.265,8.704,6.972
19,6.726,10.121,8.059,4.617,1.985,5.430,11.550,8.184,0.834,13.778,4.365,10.781,8.678,11.042,12.469,8.598,8.458,10.322,7.206,0.000,8.769,12.502,3.834,8.767,6.514,7.538,5.543,2.766,4.869,2.809,10.775,3.292,10.816,6.157,2.252,10.843,5.562,10.159,6.829,8.579,2.704,8.896,11.021,10.394,4.032,12.281,5.855,1.574,8.767,6.934,6.899,6.149,10.409,9.922,6.812,9.214,11.156,6.768,11.015,6.658,3.882,6.447,6.318,11.085,9.834,5.302,2.681,7.061
20,11.551,8.460,9.889,7.002,11.779,4.268,8.234,11.322,4.344,5.932,11.404,4.292,13.327,7.124,7.604,10.724,8.775,9.886,8.622,8.769,0.000,10.184,12.222,9.533,7.169,3.889,6.591,6.923,13.289,8.214,2.663,7.427,5.068,8.670,7.321,8.979,7.072,7.672,4.975,10.795,4.362,5.173,4.373,11.342,7.537,9.281,12.329,7.539,8.125,13.377,7.534,1.542,4.440,2.724,9.971,8.160,6.882,2.447,3.860,7.860,7.370,6.461,1.214,7.582,8.024,13.836,4.776,10.378
21,6.145,10.216,9.319,6.007,6.656,9.999,2.361,1.281,7.009,9.467,2.339,11.337,10.159,7.653,6.935,9.450,7.910,2.560,10.062,12.502,10.184,0.000,10.615,5.969,9.411,5.517,4.479,10.588,6.173,6.386,5.779,8.376,9.624,9.798,6.251,5.789,11.683,1.885,11.290,4.894,8.447,11.380,6.095,6.597,9.428,9.832,6.165,5.354,6.906,9.703,10.806,6.727,9.966,3.280,6.147,5.870,4.457,9.196,9.081,12.738,6.408,4.454,7.780,3.787,5.032,7.053,11.701,6.865
22,7.109,4.727,4.976,13.813,5.185,7.296,1.723,10.038,6.100,4.168,7.147,5.171,9.117,11.972,6.620,8.017,13.342,6.150,2.871,3.834,12.222,10.615,0.000,12.261,1.572,9.473,4.138,7.340,8.287,7.809,8.412,3.904,10.285,8.699,3.587,7.895,7.343,7.939,3.838,7.838,3.233,7.231,6.101,8.033,10.145,2.744,9.182,7.571,10.293,5.368,11.870,5.102,1.411,5.095,9.900,8.715,9.201,10.828,4.375,3.170,8.904,4.762,11.679,10.482,6.772,3.846,7.423,9.572
23,9.120,8.743,10.619,4.043,8.809,7.731,10.274,8.868,9.014,9.999,3.046,7.331,5.255,7.632,6.803,9.001,3.809,7.258,5.046,8.767,9.533,5.969,12.261,0.000,10.397,6.435,10.867,12.968,4.918,6.018,9.081,4.785,5.246,6.170,3.904,9.239,8.880,8.419,4.145,5.157,2.024,8.908,2.340,9.992,4.616,8.675,8.681,10.529,10.190,3.409,3.197,9.753,11.039,11.611,4.762,7.885,9.734,7.060,4.869,14.609,3.037,12.661,4.359,8.953,4.705,6.660,9.402,7.701
24,8.627,11.783,9.888,8.668,8.977,8.431,12.178,12.282,10.970,10.466,4.736,5.945,1.241,7.857,5.740,12.912,7.792,12.620,7.438,6.514,7.169,9.411,1.572,10.397,0.000,7.733,7.092,9.371,9.511,11.174,7.542,8.161,14.775,8.394,5.319,12.156,7.937,11.201,8.385,9.532,11.306,11.176,8.632,5.386,6.399,8.505,6.873,9.272,9.547,12.620,11.216,12.850,3.683,12.496,14.161,7.604,10.867,9.172,6.033,11.229,5.536,4.781,8.063,7.002,3.462,4.450,8.145,11.260
25,13.195,7.705,7.345,8.745,5.251,4.065,5.879,5.953,7.517,6.972,8.779,3.825,10.971,6.586,1.295,12.178,4.812,8.018,12.102,7.538,3.889,5.517,9.473,6.435,7.733,0.000,9.125,12.483,6.871,5.460,8.421,8.847,5.124,7.304,4.123,11.320,8.996,7.465,3.621,3.924,12.164,6.998,12.276,7.344,6.450,8.921,3.739,3.554,7.487,4.269,8.873,8.461,6.550,6.797,12.417,8.486,10.245,6.785,4.179,10.228,8.607,10.478,4.082,9.720,7.672,9.946,10.382,6.151
26,4.673,8.949,8.424,11.954,11.484,14.395,6.815,5.031,9.215,5.625,4.683,12.377,2.069,11.317,7.444,6.809,9.579,11.576,10.891,5.543,6.591,4.479,4.138,10.867,7.092,9.125,0.000,2.401,9.898,1.436,2.476,5.803,10.498,6.603,3.939,5.293,6.902,12.249,11.380,2.651,5.955,5.310,6.788,12.041,2.917,3.611,4.304,8.123,3.128,12.035,9.113,8.047,2.404,6.819,11.725,10.438,8.497,10.979,7.864,12.302,13.289,8.957,13.088,6.872,5.776,7.235,10.377,10.928
27,5.157,6.532,11.113,5.773,3.817,10.196,8.768,10.844,13.019,4.980,7.252,3.019,13.898,7.126,6.900,6.593,10.951,13.394,10.653,2.766,6.923,10.588,7.340,12.968,9.371,12.483,2.401,0.000,11.710,9.342,2.688,8.149,1.760,8.551,9.466,3.628,10.475,11.044,5.841,8.171,5.846,9.780,3.173,9.651,11.177,6.943,9.821,6.157,8.021,8.628,5.096,3.820,8.802,8.793,3.144,6.556,8.499,3.800,8.470,10.004,5.331,9.081,6.369,13.004,8.184,6.332,8.971,6.308
28,10.202,5.758,8.101,7.350,3.245,2.999,3.243,11.820,10.598,3.316,5.599,7.397,8.003,9.325,5.762,9.800,6.207,1.267,5.843,4.869,13.289,6.173,8.287,4.918,9.511,6.871,9.898,11.710,0.000,6.773,6.599,6.912,7.821,10.017,9.558,8.222,1.872,3.566,7.980,7.571,12.098,7.867,4.192,6.748,4.951,7.873,7.930,3.301,7.660,11.606,14.005,13.522,8.482,6.877,9.545,7.388,8.119,9.592,8.584,9.562,11.101,8.986,4.826,4.028,3.375,3.113,4.455,11.544
29,2.817,7.356,8.722,10.891,6.232,4.118,12.786,7.783,6.359,8.654,8.763,9.238,4.474,4.053,11.367,4.254,10.029,12.584,6.958,2.809,8.214,6.386,7.809,6.018,11.174,5.460,1.436,9.342,6.773,0.000,9.464,7.613,9.128,10.734,4.275,9.423,6.705,7.570,6.115,7.011,11.682,1.597,11.181,6.828,6.156,8.859,1.122,11.771,11.412,6.533,11.547,7.303,8.793,4.932,10.718,8.460,3.220,8.752,7.080,6.697,8.046,13.437,11.689,9.379,1.843,6.895,8.634,9.320
30,11.072,4.753,6.620,2.748,10.656,6.471,6.111,12.236,10.693,2.626,9.334,9.234,2.321,11.359,7.435,11.692,5.777,8.472,10.190,10.775,2.663,5.779,8.412,9.081,7.542,8.421,2.476,2.688,6.599,9.464,0.000,5.624,4.016,13.756,7.458,11.802,3.136,4.334,9.934,6.204,3.511,1.038,7.539,13.769,9.375,7.373,7.244,7.013,13.479,8.278,10.335,8.918,6.141,4.974,4.884,10.212,11.457,8.828,8.253,6.761,11.223,6.735,3.464,12.585,10.412,5.842,8.138,9.923
31,3.744,8.413,2.872,7.202,6.457,7.114,5.833,7.566,10.576,7.335,5.423,11.546,13.553,7.325,8.056,7.364,8.574,5.834,8.221,3.292,7.427,8.376,3.904,4.785,8.161,8.847,5.803,8.149,6.912,7.613,5.624,0.000,12.661,8.775,8.221,3.798,9.674,9.412,4.568,5.842,8.970,9.093,5.898,6.796,8.072,13.431,3.349,4.808,2.012,4.937,10.947,11.275,10.058,8.526,9.204,13.143,8.875,9.835,11.653,5.906,9.029,5.074,6.349,2.289,5.872,10.897,2.311,7.516
32,2.996,5.389,5.828,6.252,7.978,2.726,1.356,9.590,6.302,8.171,10.235,11.085,9.857,7.456,7.666,13.885,11.806,6.745,2.758,10.816,5.068,9.624,10.285,5.246,14.775,5.124,10.498,1.760,7.821,9.128,4.016,12.661,0.000,12.494,12.794,9.856,2.630,10.432,8.380,5.155,8.397,9.256,12.706,6.601,6.012,7.313,4.418,3.017,5.290,10.707,8.170,6.915,8.289,9.350,12.755,3.343,10.900,10.833,8.058,7.782,7.472,4.763,5.310,7.471,12.626,6.788,10.972,12.587
33,13.583,8.894,5.245,6.704,11.918,6.285,8.334,12.356,12.069,12.969,9.858,8.580,8.568,10.497,6.390,9.442,13.039,9.998,10.535,6.157,8.670,9.798,8.699,6.170,8.394,7.304,6.603,8.551,10.017,10.734,13.756,8.775,12.494,0.000,9.944,1.214,8.703,3.602,5.886,0.971,4.018,4.165,13.603,9.150,6.706,8.010,5.087,4.147,2.538,8.859,3.747,6.375,8.339,1.057,7.698,8.271,6.556,7.005,8.203,5.727,7.907,8.254,8.159,5.266,5.370,8.833,8.363,12.126
34,11.079,7.870,12.610,6.133,6.235,3.877,6.272,7.927,10.648,9.980,7.437,4.568,6.959,12.960,11.445,7.746,11.364,1.359,2.833,2.252,7.321,6.251,3.587,3.904,5.319,4.123,3.939,9.466,9.558,4.275,7.458,8.221,12.794,9.944,0.000,6.788,11.648,3.102,11.221,8.023,11.593,11.433,8.157,3.361,13.890,2.349,6.554,5.295,3.307,5.912,7.768,11.253,6.960,2.930,6.750,9.325,6.436,6.071,5.596,9.025,9.877,8.563,8.118,5.436,9.679,12.502,10.194,10.457
35,12.323,10.404,7.266,4.909,5.153,7.034,5.878,7.890,7.488,10.414,9.955,4.216,9.059,2.550,10.106,5.550,7.489,4.905,9.402,10.843,8.979,5.789,7.895,9.239,12.156,11.320,5.293,3.628,8.222,9.423,11.802,3.798,9.856,1.214,6.788,0.000,4.364,1.587,2.996,6.312,3.766,2.279,11.011,9.676,7.250,11.901,4.986,11.837,8.604,8.895,7.693,6.711,11.535,4.096,9.480,10.078,6.251,4.940,7.515,5.708,6.986,6.713,6.474,10.287,4.046,3.124,6.708,3.410
36,3.126,9.563,6.172,14.325,10.308,9.143,10.601,8.271,7.048,10.762,10.066,4.729,9.227,13.179,6.806,10.190,9.750,4.467,5.315,5.562,7.072,11.683,7.343,8.880,7.937,8.996,6.902,10.475,1.872,6.705,3.136,9.674,2.630,8.703,11.648,4.364,0.000,13.472,9.724,10.334,8.176,5.553,8.163,3.389,10.891,10.386,4.614,5.848,7.828,8.160,9.270,9.961,12.590,7.769,6.700,13.383,3.122,1.338,12.726,9.851,13.291,7.941,3.413,11.115,4.461,9.218,10.916,10.874
37,1.347,5.764,7.128,12.656,7.484,1.643,9.538,9.380,13.437,6.135,9.024,14.028,7.075,11.268,11.345,9.420,6.630,5.105,11.632,10.159,7.672,1.885,7.939,8.419,11.201,7.465,12.249,11.044,3.566,7.570,4.334,9.412,10.432,3.602,3.102,1.587,13.472,0.000,7.490,10.356,10.742,8.820,5.803,6.633,10.844,6.365,4.425,1.447,10.650,7.677,6.512,7.051,13.499,13.823,10.421,11.177,7.590,11.047,7.980,6.605,10.545,9.460,6.762,11.982,1.711,7.958,7.262,6.021
38,9.708,8.005,5.698,12.082,5.437,11.581,13.612,6.657,8.077,4.901,2.437,10.351,3.955,10.587,8.357,4.949,5.695,1.226,8.178,6.829,4.975,11.290,3.838,4.145,8.385,3.621,11.380,5.841,7.980,6.115,9.934,4.568,8.380,5.886,11.221,2.996,9.724,7.490,0.000,10.946,8.367,12.774,2.246,7.914,5.523,3.371,11.809,8.438,4.585,3.296,12.399,12.388,13.953,9.411,7.468,10.357,9.702,8.266,7.795,11.945,1.888,4.041,8.611,9.002,4.981,6.833,7.451,6.272
39,6.372,6.357,7.329,6.203,7.030,8.708,7.499,5.457,6.307,10.775,7.363,8.320,6.289,8.440,6.527,9.774,8.816,9.107,8.475,8.579,10.795,4.894,7.838,5.157,9.532,3.924,2.651,8.171,7.571,7.011,6.204,5.842,5.155,0.971,8.023,6.312,10.334,10.356,10.946,0.000,1.023,4.556,13.836,11.357,8.445,5.904,6.876,7.802,6.608,11.892,8.147,3.994,8.777,9.733,6.563,8.939,4.703,5.491,7.744,9.251,8.205,7.389,5.281,6.163,9.111,11.540,13.261,5.349
40,7.899,7.837,11.167,3.933,3.569,3.553,3.704,4.884,6.880,8.264,12.722,7.285,1.184,10.527,9.308,12.527,10.389,11.505,7.564,2.704,4.362,8.447,3.233,2.024,11.306,12.164,5.955,5.846,12.098,11.682,3.511,8.970,8.397,4.018,11.593,3.766,8.176,10.742,8.367,1.023,0.000,3.665,8.983,9.956,6.918,8.117,9.882,3.845,5.725,7.346,3.532,8.635,7.765,9.347,9.583,6.534,6.000,6.982,9.656,7.985,2.989,11.644,14.847,12.120,11.370,5.174,11.612,7.331
41,10.988,8.271,8.464,14.344,11.608,7.433,4.274,10.680,2.771,10.416,8.927,8.746,9.669,7.245,11.621,14.596,6.164,14.610,6.516,8.896,5.173,11.380,7.231,8.908,11.176,6.998,5.310,9.780,7.867,1.597,1.038,9.093,9.256,4.165,11.433,2.279,5.553,8.820,12.774,4.556,3.665,0.000,6.034,10.386,2.094,8.020,6.354,14.126,10.242,5.625,9.843,3.647,6.893,7.088,11.673,9.763,5.180,5.596,12.955,6.352,8.399,8.179,8.536,9.134,2.220,10.924,2.549,5.852
42,2.350,2.883,7.552,4.875,12.845,7.108,13.025,11.875,4.215,7.835,4.728,7.113,6.643,5.008,9.599,12.932,12.216,8.976,9.003,11.021,4.373,6.095,6.101,2.340,8.632,12.276,6.788,3.173,4.192,11.181,7.539,5.898,12.706,13.603,8.157,11.011,8.163,5.803,2.246,13.836,8.983,6.034,0.000,6.044,3.441,12.681,5.250,7.988,6.989,6.804,9.089,4.570,8.082,6.236,9.349,0.589,8.816,12.375,2.817,10.959,10.938,12.114,6.136,2.856,9.717,12.891,8.370,4.755
43,9.782,8.208,7.346,14.648,11.014,9.712,8.831,6.383,2.003,5.373,11.016,5.963,6.636,8.659,8.068,3.836,6.019,5.804,6.130,10.394,11.342,6.597,8.033,9.992,5.386,7.344,12.041,9.651,6.748,6.828,13.769,6.796,6.601,9.150,3.361,9.676,3.389,6.633,7.914,11.357,9.956,10.386,6.044,0.000,9.370,7.245,5.145,5.719,6.698,11.465,10.505,1.169,10.154,3.700,7.863,13.527,4.517,8.043,8.873,6.542,10.989,13.839,3.780,11.283,11.814,7.734,3.240,8.251
44,6.383,10.115,3.928,13.760,4.605,8.075,5.678,11.125,6.305,8.333,6.481,8.698,10.268,11.131,13.720,3.643,5.974,6.373,8.829,4.032,7.537,9.428,10.145,4.616,6.399,6.450,2.917,11.177,4.951,6.156,9.375,8.072,6.012,6.706,13.890,7.250,10.891,10.844,5.523,8.445,6.918,2.094,3.441,9.370,0.000,9.483,2.146,7.275,4.480,13.054,8.435,10.497,9.353,9.936,6.030,8.819,7.825,9.280,4.435,9.935,8.190,6.209,6.096,8.146,7.027,5.955,2.838,8.838
45,7.459,7.026,5.666,11.206,6.458,8.264,7.181,10.258,3.420,8.034,11.726,9.356,6.055,4.335,5.825,12.127,8.960,1.446,3.737,12.281,9.281,9.832,2.744,8.675,8.505,8.921,3.611,6.943,7.873,8.859,7.373,13.431,7.313,8.010,2.349,11.901,10.386,6.365,3.371,5.904,8.117,8.020,12.681,7.245,9.483,0.000,6.908,3.675,8.139,6.307,9.832,8.178,11.754,8.409,2.517,7.619,12.660,3.501,8.613,2.345,7.367,7.589,7.357,9.732,6.372,7.770,7.600,6.768
46,9.658,11.171,13.041,8.601,8.396,6.491,2.758,12.004,6.892,10.533,5.294,1.128,6.992,8.186,11.626,6.134,7.403,3.332,12.030,5.855,12.329,6.165,9.182,8.681,6.873,3.739,4.304,9.821,7.930,1.122,7.244,3.349,4.418,5.087,6.554,4.986,4.614,4.425,11.809,6.876,9.882,6.354,5.250,5.145,2.146,6.908,0.000,5.767,10.555,7.533,12.234,11.648,3.921,8.175,5.956,6.494,9.032,10.062,3.693,9.517,11.434,10.711,5.739,9.157,8.640,3.833,7.094,10.758
47,11.094,13.171,7.604,6.139,6.326,5.434,5.477,12.832,10.054,10.713,12.492,12.248,6.880,10.980,4.896,6.185,2.352,7.877,8.400,1.574,7.539,5.354,7.571,10.529,9.272,3.554,8.123,6.157,3.301,11.771,7.013,4.808,3.017,4.147,5.295,11.837,5.848,1.447,8.438,7.802,3.845,14.126,7.988,5.719,7.275,3.675,5.767,0.000,10.352,6.812,9.310,10.287,13.045,7.962,6.253,4.700,5.448,3.278,4.475,8.727,12.375,3.348,6.149,7.952,2.902,5.332,7.803,3.316
48,10.211,6.827,5.808,10.736,9.038,10.935,2.419,6.650,7.064,6.965,8.024,13.213,9.520,11.154,4.261,8.810,9.943,5.373,12.352,8.767,8.125,6.906,10.293,10.190,9.547,7.487,3.128,8.021,7.660,11.412,13.479,2.012,5.290,2.538,3.307,8.604,7.828,10.650,4.585,6.608,5.725,10.242,6.989,6.698,4.480,8.139,10.555,10.352,0.000,3.231,6.378,5.914,6.958,6.538,8.822,6.964,7.047,8.162,11.513,6.864,8.314,6.136,11.105,7.445,2.411,12.248,8.091,11.328
49,3.072,3.266,11.740,8.235,12.265,11.850,8.227,8.640,9.452,11.849,6.271,5.732,7.993,9.505,6.393,4.049,6.365,7.836,2.345,6.934,13.377,9.703,5.368,3.409,12.620,4.269,12.035,8.628,11.606,6.533,8.278,4.937,10.707,8.859,5.912,8.895,8.160,7.677,3.296,11.892,7.346,5.625,6.804,11.465,13.054,6.307,7.533,6.812,3.231,0.000,1.113,5.178,3.124,8.112,8.315,11.650,4.775,5.521,3.214,8.535,6.947,4.921,10.237,12.391,10.244,13.002,6.767,11.184
